Date,Open,High,Low,Close,Volume
2014-05-13,242.07,246.67,235.47,246.67,57.0
2014-05-14,237.32,246.67,237.32,246.67,1444.0
2014-05-15,246.54,247.05,243.02,246.77,164.0
2014-05-19,246.77,246.77,237.47,238.23,2636.0
2014-05-20,237.32,246.72,237.28,246.72,75.0
2014-05-21,237.32,250.05,237.32,250.05,2536.0
2014-05-22,250.57,250.57,248.72,250.57,51.0
2014-05-23,247.25,248.2,246.77,247.72,270.0
2014-05-26,247.72,255.32,247.72,255.32,37.0
2014-05-27,255.27,263.85,255.27,263.85,789.0
2014-05-28,263.85,271.45,263.85,270.5,2069.0
2014-05-30,270.5,270.5,269.55,269.55,621.0
2014-06-02,265.8,265.8,265.75,265.75,46.0
2014-06-03,265.94,269.5,265.75,265.75,7282.0
2014-06-04,265.9,265.9,265.75,265.75,752.0
2014-06-05,265.8,268.94,265.8,268.94,17.0
2014-06-06,265.8,267.65,265.75,265.75,1552.0
2014-06-09,265.75,269.07,265.75,265.75,659.0
2014-06-10,265.75,267.65,265.75,267.65,115.0
2014-06-11,265.75,265.75,265.75,265.75,78.0
2014-06-12,265.75,265.75,265.75,265.75,9.0
2014-06-13,265.75,265.75,265.75,265.75,81.0
2014-06-16,265.75,267.17,261.96,267.17,459.0
2014-06-17,267.51,269.45,267.51,269.45,2833.0
2014-06-18,269.41,269.41,253.65,265.75,816.0
2014-06-20,260.1,260.1,256.27,256.27,295.0
2014-06-23,256.27,263.85,256.27,263.85,373.0
2014-06-24,263.81,269.79,263.81,269.79,297.0
2014-06-26,269.65,269.65,267.65,269.6,35.0
2014-06-30,265.75,265.75,261.01,265.75,42.0
2014-07-01,265.75,267.65,265.75,267.65,743.0
2014-07-02,265.8,265.8,265.7,265.75,2266.0
2014-07-03,265.75,265.75,265.75,265.75,174.0
2014-07-04,265.75,265.75,265.75,265.75,97.0
2014-07-07,265.75,269.6,265.75,265.75,673.0
2014-07-08,257.31,264.76,257.31,264.76,4.0
2014-07-09,264.76,264.76,264.76,264.76,7.0
2014-07-10,257.22,257.22,257.22,257.22,10.0
2014-07-11,256.27,256.27,247.72,255.97,425.0
2014-07-14,256.27,263.19,253.37,263.19,95.0
2014-07-15,247.82,256.12,247.82,256.12,17.0
2014-07-16,256.07,256.17,256.07,256.17,227.0
2014-07-17,248.72,254.22,247.72,254.22,437.0
2014-07-18,247.72,249.62,247.72,248.67,142.0
2014-07-21,247.77,247.77,247.72,247.72,510.0
2014-07-23,247.72,247.77,240.17,246.77,1208.0
2014-07-24,246.72,246.72,239.18,244.78,87.0
2014-07-25,239.84,244.78,239.84,242.02,478.0
2014-07-28,239.84,244.73,228.84,244.73,108.0
2014-07-29,235.67,241.98,235.67,241.98,51.0
2014-07-30,232.58,237.28,230.64,237.28,104.0
2014-07-31,232.54,241.5,228.74,241.5,291.0
2014-08-01,241.98,241.98,241.69,241.69,33.0
2014-08-05,240.08,241.32,237.28,241.32,313.0
2014-08-07,235.38,239.99,230.02,237.09,374.0
2014-08-08,230.78,232.44,227.84,227.84,394.0
2014-08-11,223.04,236.29,223.04,235.38,13.0
2014-08-12,237.24,237.24,237.09,237.09,12.0
2014-08-13,236.8,237.0,229.5,233.39,758.0
2014-08-14,233.49,233.96,232.54,233.49,421.0
2014-08-18,233.91,236.33,233.91,235.85,67.0
2014-08-19,237.19,237.24,229.22,234.39,299.0
2014-08-20,237.19,237.24,224.99,234.52,2595.0
2014-08-21,237.24,246.67,237.24,246.67,4363.0
